Serial_No,Date(%y-%m-%d),District,Crop,N(kg/ha),P(kg/ha),K(kg/ha),pH,Rainfall(mm),Temperature(°C),Humidity(%),Market_Price(INR/kg),Yield(kg/ha),Total_Market_Price(INR/ha)
601,2025-01-03,Nagapattinam,Groundnut,85,42,77,7.1,782,23,57,27.54,1010.0,27815.4
602,2025-01-23,Theni,Brinjal,138,67,87,7.0,999,29,58,22.5,14190.0,319275.0
603,2025-01-29,Kallakurichi,Tapioca,91,30,64,6.2,1081,25,81,186.52,11200.0,2089024.0
604,2025-01-18,Coimbatore,Pumpkin,83,61,97,6.4,909,29,59,177.73,23920.0,4251301.6
605,2025-01-01,Sankagiri,Onion,138,78,61,7.1,733,20,56,198.29,9390.0,1861943.1
606,2025-01-16,Trichy,Pumpkin,108,48,77,7.2,933,31,70,63.1,20610.0,1300491.0
607,2025-02-08,Madurai,Banana,194,106,144,6.6,1274,31,60,76.8,19390.0,1489152.0
608,2025-02-18,Ooty,Chickpea,61,33,44,6.7,940,24,88,177.4,3220.0,571228.0
609,2025-02-09,Madurai,Onion,112,69,86,6.5,709,21,86,196.89,17750.0,3494797.5
610,2025-01-14,Thoothukudi,Cabbage,157,84,108,6.3,934,19,87,50.21,3400.0,170714.0
611,2025-01-10,Dindigul,Wheat,130,67,90,6.8,945,24,58,40.22,5210.0,209546.2
612,2025-02-15,Cuddalore,Ginger,107,45,68,6.5,1280,29,85,195.83,5240.0,1026149.2
613,2025-02-11,Sankagiri,Onion,91,77,69,7.3,1020,23,81,168.6,9420.0,1588212.0
614,2025-02-13,Ramanathapuram,Chili,131,80,87,6.9,1210,28,50,156.87,2240.0,351388.8
615,2025-01-23,Virdhunagar,Soybean,99,63,98,7.5,924,29,90,156.45,3470.0,542881.5
616,2025-02-06,Ooty,Pumpkin,117,46,68,7.5,1299,30,75,12.12,12530.0,151863.6
617,2025-02-11,Sankagiri,Tapioca,90,33,89,7.4,1314,28,55,42.38,15010.0,636123.8
618,2025-01-02,Palladam,Brinjal,95,79,92,6.3,823,26,71,167.7,11840.0,1985568.0
619,2025-02-02,Ariyalur,Rice,127,57,120,6.7,1315,25,66,95.85,4310.0,413113.5
620,2025-01-11,Kanyakumari,Brinjal,121,54,80,6.7,801,28,52,93.82,10860.0,1018885.2
621,2025-01-17,Tiruvannamalai,Banana,160,104,145,6.7,1364,31,59,176.95,20410.0,3611549.5
622,2025-02-15,Thanjavur,Soybean,94,55,61,7.0,634,27,79,60.41,3270.0,197540.7
623,2025-02-14,Kanchipuram,Maize,146,75,135,6.9,837,25,68,56.33,4900.0,276017.0
624,2025-02-02,Karur,Carrot,102,47,59,6.7,536,23,51,32.04,11380.0,364615.2
625,2025-01-04,Theni,Chili,116,87,116,6.8,853,29,80,94.03,2920.0,274567.6
626,2025-01-12,Ooty,Sugarcane,181,79,135,6.9,1973,28,89,146.84,60150.0,8832426.0
627,2025-02-16,Virdhunagar,Brinjal,135,69,73,6.4,931,26,90,65.34,8480.0,554083.2
628,2025-01-05,Kallakurichi,Chili,145,71,110,6.2,1053,28,60,151.6,2650.0,401740.0
629,2025-01-02,Namakkal,Mango,136,72,110,6.6,1222,29,59,49.71,25130.0,1249212.3
630,2025-01-16,Coimbatore,Ginger,109,32,70,6.8,1399,32,87,41.15,6160.0,253484.0
631,2025-01-23,Pudukkottai,Cotton,90,66,60,7.1,1013,30,65,30.29,2610.0,79056.9
632,2025-01-25,Tirunelveli,Cotton,127,61,67,6.9,961,30,57,48.27,1770.0,85437.9
633,2025-01-22,Madurai,Mango,138,79,90,6.9,935,28,85,120.62,21330.0,2572824.6
634,2025-02-09,Ooty,Carrot,107,52,55,7.5,870,19,68,130.67,10210.0,1334140.7
635,2025-02-11,Namakkal,Maize,122,81,126,7.0,703,29,88,54.06,5090.0,275165.4
636,2025-01-12,Krishnagiri,Ginger,93,44,89,6.7,1340,33,62,177.1,4150.0,734965.0
637,2025-01-17,Dindigul,Watermelon,157,82,111,7.4,1264,30,66,149.25,19180.0,2862615.0
638,2025-01-22,Nagapattinam,Banana,190,85,158,6.7,1369,29,82,68.31,15910.0,1086812.1
639,2025-02-05,Madurai,Ginger,88,37,72,6.3,1386,30,74,97.81,4470.0,437210.7
640,2025-02-01,Pudukkottai,Cabbage,157,66,103,6.5,967,21,77,45.09,4500.0,202905.0
641,2025-02-16,Nagapattinam,Lemon,122,57,77,7.2,1061,30,65,187.76,13830.0,2596720.8
642,2025-01-01,Virdhunagar,Ginger,114,40,71,6.9,1694,33,83,13.74,4760.0,65402.4
643,2025-01-06,Palladam,Rice,130,56,82,5.6,1144,25,89,29.89,4470.0,133608.3
644,2025-01-31,Ooty,Onion,95,64,82,6.1,701,22,86,37.56,18670.0,701245.2
645,2025-02-12,Chennai,Tapioca,80,32,69,7.4,1468,29,83,126.23,25080.0,3165848.4
646,2025-01-23,Ramanathapuram,Cauliflower,113,75,75,6.8,1058,20,62,18.22,5150.0,93833.0
647,2025-01-12,Madurai,Cabbage,138,67,105,7.1,1036,20,55,121.07,4220.0,510915.4
648,2025-01-28,Virdhunagar,Lemon,131,74,105,7.2,1345,26,63,76.34,19740.0,1506951.6
649,2025-02-12,Pudukkottai,Carrot,109,56,75,7.2,607,21,81,108.66,10580.0,1149622.8
650,2025-01-24,Tiruvallur,Chickpea,91,39,42,6.9,839,21,64,107.36,2750.0,295240.0
651,2025-02-06,Tirupur,Lemon,127,80,98,6.6,1118,29,50,150.87,18540.0,2797129.8
652,2025-01-28,Tirupur,Apple,132,89,95,7.1,1120,28,68,10.51,12320.0,129483.2
653,2025-01-19,Nagapattinam,Peas,97,40,90,6.1,677,25,68,62.53,9360.0,585280.8
654,2025-01-28,Trichy,Soybean,134,62,89,7.3,822,24,65,116.93,1890.0,220997.7
655,2025-02-01,Coimbatore,Cauliflower,119,63,75,6.1,917,21,50,119.48,4070.0,486283.6
656,2025-01-24,Theni,Watermelon,121,73,111,7.4,1332,30,57,83.03,10550.0,875966.5
657,2025-01-18,Vellore,Mango,132,50,76,7.2,1065,25,74,180.9,14080.0,2547072.0
658,2025-01-04,Theni,Peas,81,68,76,6.9,690,25,86,22.87,9300.0,212691.0
659,2025-01-13,Chennai,Chili,105,72,112,6.8,851,28,64,80.65,2160.0,174204.0
660,2025-01-10,Namakkal,Ginger,89,52,59,7.3,1532,32,65,108.49,7450.0,808250.5
661,2025-02-16,Thanjavur,Watermelon,164,79,139,6.7,1374,32,66,74.24,14900.0,1106176.0
662,2025-01-22,Tirupur,Soybean,105,69,64,6.8,803,26,65,53.87,2680.0,144371.6
663,2025-01-25,Ariyalur,Chili,147,90,101,6.8,832,25,62,68.68,2470.0,169639.6
664,2025-01-13,Madurai,Peas,108,64,62,6.0,943,20,79,100.61,5140.0,517135.4
665,2025-01-11,Nagapattinam,Rice,133,71,108,5.5,1481,24,60,30.32,5220.0,158270.4
666,2025-01-27,Perambalur,Banana,192,109,145,6.6,1293,32,66,30.67,24330.0,746201.1
667,2025-01-28,Salem,Banana,166,91,155,7.5,1436,28,69,93.15,32510.0,3028306.5
668,2025-01-05,Sankagiri,Onion,134,74,79,7.1,730,24,81,40.17,14990.0,602148.3
669,2025-02-09,Tiruvannamalai,Tomato,165,89,102,6.7,1120,21,58,138.58,9100.0,1261078.0
670,2025-01-19,Trichy,Apple,140,66,120,6.3,1284,28,66,16.12,5370.0,86564.4
671,2025-02-01,Sivaganga,Tomato,170,97,116,6.6,865,21,54,38.36,9580.0,367488.8
672,2025-02-18,Villupuram,Chickpea,62,40,79,6.2,607,22,82,136.29,2260.0,308015.4
673,2025-02-08,Ooty,Ginger,111,54,85,6.2,1632,32,78,186.88,5210.0,973644.8
674,2025-02-12,Krishnagiri,Onion,104,70,91,7.0,1077,21,88,75.13,11900.0,894047.0
675,2025-01-21,Cuddalore,Cotton,87,43,96,6.6,872,27,80,92.15,1750.0,161262.5
676,2025-02-11,Vellore,Soybean,138,54,65,7.0,963,27,81,99.05,1830.0,181261.5
677,2025-02-04,Madurai,Lemon,126,67,91,7.4,1408,26,68,99.14,16380.0,1623913.2
678,2025-02-14,Virdhunagar,Watermelon,156,98,101,7.0,1563,34,65,124.62,10150.0,1264893.0
679,2025-01-20,Pudukkottai,Soybean,140,66,94,7.0,979,28,81,154.49,2480.0,383135.2
680,2025-02-17,Villupuram,Banana,165,90,148,6.8,1643,31,52,100.7,13500.0,1359450.0
681,2025-02-13,Sivaganga,Banana,164,86,144,6.7,1424,31,73,146.82,25010.0,3671968.2
682,2025-02-18,Tiruvannamalai,Peas,90,68,85,6.1,1024,22,59,48.89,9030.0,441476.7
683,2025-01-20,Vellore,Brinjal,92,66,87,6.7,890,27,52,123.36,11360.0,1401369.6
684,2025-02-08,Krishnagiri,Cabbage,169,62,95,6.1,1192,22,82,57.32,5710.0,327297.2
685,2025-01-27,Karur,Wheat,108,65,70,6.3,718,20,81,182.08,6520.0,1187161.6
686,2025-01-25,Nagapattinam,Soybean,122,62,65,7.1,953,27,84,81.07,2660.0,215646.2
687,2025-02-17,Madurai,Carrot,77,57,80,6.7,657,20,56,181.09,9250.0,1675082.5
688,2025-01-02,Karur,Maize,166,64,108,7.3,899,30,79,35.83,5830.0,208888.9
689,2025-01-12,Ramanathapuram,Chili,133,85,90,7.3,869,26,81,86.91,2450.0,212929.5
690,2025-01-16,Virdhunagar,Groundnut,56,45,56,7.4,733,22,85,93.19,1790.0,166810.1
691,2025-02-14,Nagapattinam,Wheat,80,64,100,6.6,885,20,54,131.65,5450.0,717492.5
692,2025-02-15,Namakkal,Soybean,130,70,73,6.6,949,25,77,151.94,3210.0,487727.4
693,2025-01-22,Sivaganga,Pumpkin,124,47,90,7.1,1049,32,71,64.05,24400.0,1562820.0
694,2025-02-15,Villupuram,Tapioca,129,52,86,6.2,1049,27,70,189.99,20420.0,3879595.8
695,2025-01-30,Villupuram,Chili,112,80,118,6.4,834,29,73,184.72,3740.0,690852.8
696,2025-01-06,Palladam,Lemon,132,61,83,7.0,1489,30,83,85.99,10250.0,881397.5
697,2025-02-11,Tirunelveli,Rice,132,54,90,7.4,1117,24,78,39.09,2630.0,102806.7
698,2025-01-27,Kallakurichi,Chickpea,65,49,61,6.2,665,24,83,134.21,2470.0,331498.7
699,2025-01-27,Virdhunagar,Onion,94,66,67,7.1,1025,22,81,96.41,11130.0,1073043.3
700,2025-01-23,Ariyalur,Cabbage,135,82,95,7.2,1131,22,86,122.5,4280.0,524300.0
701,2025-01-29,Tiruvannamalai,Apple,140,68,114,6.2,1090,29,60,96.71,6010.0,581227.1
702,2025-01-18,Chennai,Sugarcane,177,88,128,6.7,1568,33,84,97.12,62190.0,6039892.8
703,2025-02-11,Sivaganga,Mango,104,68,106,7.2,1190,30,83,64.72,17750.0,1148780.0
704,2025-02-08,Sankagiri,Tomato,122,71,116,6.6,823,21,65,144.24,8410.0,1213058.4
705,2025-02-10,Namakkal,Rice,105,75,104,6.8,1121,25,71,136.07,2590.0,352421.3
706,2025-02-18,Tirupur,Peas,114,53,87,7.3,1099,24,53,133.14,6030.0,802834.2
707,2025-02-15,Tirunelveli,Onion,133,50,91,7.2,1090,22,61,149.58,10020.0,1498791.6
708,2025-02-05,Thanjavur,Tapioca,82,49,92,7.4,1477,27,67,192.33,12070.0,2321423.1
709,2025-02-03,Tiruvallur,Tomato,152,71,130,7.2,723,21,85,127.9,6250.0,799375.0
710,2025-01-18,Kallakurichi,Onion,109,78,74,7.2,690,22,73,47.03,14140.0,665004.2
711,2025-01-08,Madurai,Ginger,120,43,73,7.4,1262,31,86,93.53,7260.0,679027.8
712,2025-01-01,Kanyakumari,Sugarcane,152,71,147,7.0,1981,29,61,198.34,88650.0,17582841.0
713,2025-02-10,Erode,Onion,99,61,77,7.3,988,21,86,63.45,10620.0,673839.0
714,2025-02-08,Thanjavur,Tomato,151,73,130,7.4,778,20,80,191.95,5960.0,1144022.0
715,2025-01-29,Chennai,Pumpkin,109,63,79,6.3,1280,33,63,142.46,15770.0,2246594.2
716,2025-01-06,Dindigul,Chili,107,72,89,6.4,909,29,64,140.7,1670.0,234969.0
717,2025-01-03,Palladam,Tomato,151,70,135,6.7,776,21,71,127.28,9490.0,1207887.2
718,2025-02-08,Tiruvallur,Chickpea,79,32,65,6.5,628,24,82,178.24,5130.0,914371.2
719,2025-01-13,Tiruvannamalai,Pumpkin,80,46,73,7.1,1074,29,57,135.9,25000.0,3397500.0
720,2025-01-16,Ooty,Chili,148,88,103,6.9,1143,28,63,28.81,3530.0,101699.3
721,2025-01-09,Vellore,Chili,150,64,100,6.8,1086,26,88,148.1,3520.0,521312.0
722,2025-02-11,Villupuram,Wheat,88,50,92,7.2,588,20,85,61.03,4440.0,270973.2
723,2025-02-16,Dindigul,Cotton,89,41,80,7.4,1038,30,68,35.94,1490.0,53550.6
724,2025-01-01,Vellore,Mango,118,76,71,6.9,1013,30,85,128.04,18640.0,2386665.6
725,2025-02-02,Sankagiri,Soybean,94,62,73,7.4,944,27,81,186.62,2530.0,472148.6
726,2025-01-20,Dindigul,Maize,139,61,103,6.4,1124,27,54,60.43,6590.0,398233.7
727,2025-02-15,Virdhunagar,Mango,130,52,73,7.2,847,27,69,25.9,22980.0,595182.0
728,2025-02-11,Thanjavur,Groundnut,65,55,80,7.5,655,27,71,188.89,1090.0,205890.1
729,2025-01-23,Chennai,Rice,104,52,81,6.8,1422,27,82,182.1,4210.0,766641.0
730,2025-02-01,Krishnagiri,Watermelon,125,92,133,7.4,1483,34,62,100.65,18640.0,1876116.0
731,2025-02-18,Vellore,Soybean,94,60,68,6.6,670,27,84,74.21,2680.0,198882.8
732,2025-01-24,Cuddalore,Ginger,93,57,55,6.6,1397,28,70,71.23,7610.0,542060.3
733,2025-01-09,Tiruvannamalai,Mango,121,51,94,7.4,826,28,69,175.71,12430.0,2184075.3
734,2025-01-19,Villupuram,Cauliflower,147,55,91,7.1,730,21,61,21.59,5000.0,107950.0
735,2025-01-03,Dindigul,Cauliflower,117,66,90,6.6,1170,22,84,70.16,4330.0,303792.8
736,2025-01-31,Krishnagiri,Cauliflower,136,80,96,6.0,862,21,50,90.45,4550.0,411547.5
737,2025-02-05,Sivaganga,Rice,149,75,103,6.0,1385,25,62,45.8,4960.0,227168.0
738,2025-01-23,Madurai,Lemon,129,62,101,7.2,1468,25,57,195.94,10570.0,2071085.8
739,2025-01-04,Ramanathapuram,Maize,164,60,132,6.2,977,25,72,147.04,4270.0,627860.8
740,2025-01-28,Ariyalur,Lemon,95,52,107,7.2,1429,27,90,133.15,8450.0,1125117.5
741,2025-01-15,Erode,Wheat,97,66,79,6.7,995,24,73,172.66,5180.0,894378.8
742,2025-01-25,Krishnagiri,Chickpea,86,31,50,7.4,673,24,63,48.91,2370.0,115916.7
743,2025-01-23,Ramanathapuram,Wheat,86,46,84,7.2,796,22,66,78.06,5630.0,439477.8
744,2025-01-31,Kallakurichi,Banana,178,80,127,6.9,1660,30,83,63.31,24140.0,1528303.4
745,2025-01-02,Krishnagiri,Cotton,127,66,80,7.2,801,27,54,12.8,1660.0,21248.0
746,2025-01-14,Sivaganga,Apple,147,83,106,6.1,819,26,57,96.46,14050.0,1355263.0
747,2025-01-19,Tirupur,Cabbage,140,85,108,7.2,759,23,76,67.94,3970.0,269721.8
748,2025-02-17,Tiruvannamalai,Mango,149,54,84,6.9,803,29,69,194.53,18680.0,3633820.4
749,2025-02-05,Salem,Tomato,145,81,132,7.4,809,24,51,50.35,9630.0,484870.5
750,2025-01-09,Dindigul,Maize,123,74,133,7.4,1051,27,90,63.56,4990.0,317164.4
751,2025-01-19,Tirupur,Chili,125,85,107,6.6,1187,26,71,109.47,2470.0,270390.9
752,2025-02-18,Kanchipuram,Cabbage,141,66,89,6.3,727,22,66,64.62,5680.0,367041.6
753,2025-02-16,Thanjavur,Groundnut,56,33,75,6.1,514,22,80,166.99,1770.0,295572.3
754,2025-01-28,Thoothukudi,Brinjal,91,50,96,6.8,1065,27,60,132.89,14060.0,1868433.4
755,2025-01-09,Kanyakumari,Chickpea,95,50,57,7.0,589,20,56,80.13,3220.0,258018.6
756,2025-01-14,Theni,Chili,142,82,102,7.5,1011,27,75,158.03,3840.0,606835.2
757,2025-01-22,Trichy,Watermelon,169,97,139,7.1,1486,32,68,136.59,14300.0,1953237.0
758,2025-01-09,Vellore,Chickpea,67,46,51,7.3,555,21,85,21.39,3930.0,84062.7
759,2025-01-19,Kallakurichi,Brinjal,137,76,98,6.8,844,26,59,196.17,10430.0,2046053.1
760,2025-01-11,Perambalur,Onion,98,50,60,6.7,988,25,66,123.31,13360.0,1647421.6
761,2025-02-08,Erode,Sugarcane,187,82,130,6.5,1781,33,50,116.61,52460.0,6117360.6
762,2025-02-08,Virdhunagar,Tomato,153,75,112,6.5,810,21,54,70.28,9470.0,665551.6
763,2025-02-14,Tirunelveli,Watermelon,132,74,135,7.1,1471,33,64,163.76,8130.0,1331368.8
764,2025-01-26,Villupuram,Watermelon,136,79,121,7.0,1504,35,58,62.52,15680.0,980313.6
765,2025-02-15,Perambalur,Brinjal,137,62,85,7.1,1211,27,71,32.0,5830.0,186560.0
766,2025-01-12,Nagapattinam,Cotton,103,58,83,7.0,626,26,82,182.05,2490.0,453304.5
767,2025-02-14,Tirupur,Wheat,102,54,88,6.3,972,23,88,10.88,4540.0,49395.2
768,2025-02-10,Vellore,Onion,106,51,72,6.8,1045,25,75,98.24,10730.0,1054115.2
769,2025-02-15,Theni,Cabbage,153,63,91,6.4,1021,21,75,70.71,3900.0,275769.0
770,2025-02-05,Vellore,Mango,110,74,89,6.7,1144,27,60,141.1,29520.0,4165272.0
771,2025-01-29,Dindigul,Banana,175,101,135,6.7,1688,31,83,18.1,37370.0,676397.0
772,2025-01-06,Salem,Chickpea,81,52,65,7.3,987,21,75,122.49,4080.0,499759.2
773,2025-01-25,Tiruvannamalai,Groundnut,91,36,65,6.3,763,26,62,25.8,1410.0,36378.0
774,2025-02-13,Karur,Cotton,113,65,64,6.7,815,29,79,71.29,1790.0,127609.1
775,2025-01-14,Tiruvannamalai,Cotton,113,53,80,6.8,893,28,74,32.28,2700.0,87156.0
776,2025-02-18,Trichy,Onion,139,58,97,6.9,734,21,53,15.9,14640.0,232776.0
777,2025-01-30,Namakkal,Banana,158,107,127,7.0,1276,29,51,141.55,14770.0,2090693.5
778,2025-01-20,Ooty,Mango,100,63,70,7.3,933,29,79,62.25,25670.0,1597957.5
779,2025-01-09,Tirupur,Banana,197,83,144,6.7,1387,28,88,135.39,25770.0,3489000.3
780,2025-02-17,Kanchipuram,Tapioca,90,35,64,6.8,1447,26,74,165.64,20720.0,3432060.8
781,2025-01-02,Tirunelveli,Carrot,62,61,82,6.9,766,21,73,138.66,9200.0,1275672.0
782,2025-01-13,Dindigul,Lemon,130,57,87,6.6,1157,27,80,129.12,10540.0,1360924.8
783,2025-01-13,Nagapattinam,Rice,119,63,96,5.9,1456,26,80,188.17,5320.0,1001064.4
784,2025-01-26,Krishnagiri,Groundnut,87,51,40,6.6,821,22,79,160.75,1860.0,298995.0
785,2025-01-04,Madurai,Cauliflower,120,67,83,7.3,1048,21,71,76.93,4550.0,350031.5
786,2025-01-28,Dindigul,Wheat,95,68,76,6.2,639,24,56,197.93,5440.0,1076739.2
787,2025-02-02,Theni,Carrot,61,46,60,7.0,716,22,67,58.22,10070.0,586275.4
788,2025-02-18,Tiruvannamalai,Wheat,101,59,65,6.8,533,23,79,187.93,3540.0,665272.2
789,2025-01-12,Thanjavur,Pumpkin,95,40,73,6.4,1079,28,77,105.98,24140.0,2558357.2
790,2025-02-09,Trichy,Rice,112,66,116,6.2,1465,22,55,73.23,2230.0,163302.9
791,2025-02-14,Kanyakumari,Tomato,163,76,120,7.3,796,24,54,12.46,8830.0,110021.8
792,2025-01-17,Ooty,Banana,164,87,148,6.5,1621,28,66,52.84,31730.0,1676613.2
793,2025-02-04,Ariyalur,Soybean,115,52,64,7.3,639,28,77,77.58,3370.0,261444.6
794,2025-02-10,Perambalur,Groundnut,63,34,55,6.5,695,25,80,46.08,1230.0,56678.4
795,2025-02-07,Dindigul,Tomato,141,79,121,6.9,992,24,65,118.09,5690.0,671932.1
796,2025-01-14,Pudukkottai,Groundnut,52,39,78,6.6,513,27,83,138.84,1500.0,208260.0
797,2025-01-07,Kallakurichi,Cotton,102,55,100,6.8,775,29,57,134.32,2630.0,353261.6
798,2025-01-05,Vellore,Chili,105,69,102,7.4,1164,25,64,28.72,2130.0,61173.6
799,2025-01-03,Ariyalur,Mango,147,58,104,6.5,1116,26,65,36.51,16290.0,594747.9
800,2025-02-05,Madurai,Cabbage,167,66,100,6.3,1074,18,78,80.41,5690.0,457532.9
801,2025-01-27,Thoothukudi,Tapioca,83,47,85,6.2,1484,26,85,13.89,17100.0,237519.0
802,2025-01-03,Villupuram,Tomato,163,100,103,7.3,1199,24,60,80.88,8150.0,659172.0
803,2025-01-27,Pudukkottai,Peas,93,61,62,6.4,1006,23,65,187.67,4920.0,923336.4
804,2025-02-03,Chennai,Cotton,90,69,94,6.9,906,27,69,182.63,1680.0,306818.4
805,2025-01-11,Karur,Sugarcane,183,84,142,7.3,1638,29,64,118.38,77120.0,9129465.6
806,2025-01-31,Palladam,Chickpea,91,31,73,6.9,849,20,78,38.62,5570.0,215113.4
807,2025-01-11,Tirupur,Chili,145,68,108,7.0,1124,25,60,70.15,3640.0,255346.0
808,2025-02-14,Thoothukudi,Brinjal,120,80,75,6.5,955,26,88,140.58,14490.0,2037004.2
809,2025-01-26,Ariyalur,Brinjal,136,80,80,7.5,1043,29,65,115.59,10850.0,1254151.5
810,2025-01-13,Coimbatore,Sugarcane,193,97,130,7.0,1895,33,62,114.89,88730.0,10194189.7
811,2025-01-24,Nagapattinam,Pumpkin,122,43,74,6.4,1196,30,57,112.13,14100.0,1581033.0
812,2025-01-25,Kanchipuram,Tomato,120,84,124,6.6,715,22,75,121.68,7480.0,910166.4
813,2025-01-17,Trichy,Soybean,129,52,60,7.0,886,28,50,58.22,2950.0,171749.0
814,2025-01-09,Coimbatore,Watermelon,164,76,135,7.3,1398,33,70,113.68,18490.0,2101943.2
815,2025-02-06,Thanjavur,Brinjal,128,53,75,7.3,1180,30,61,120.45,5460.0,657657.0
816,2025-01-26,Virdhunagar,Ginger,116,56,83,7.2,1313,30,56,69.19,7590.0,525152.1
817,2025-01-29,Vellore,Banana,168,87,122,7.2,1418,30,86,96.56,12830.0,1238864.8
818,2025-02-15,Thanjavur,Rice,145,63,102,6.5,1282,22,77,134.23,4320.0,579873.6
819,2025-02-14,Thanjavur,Maize,139,66,109,6.5,1059,25,53,84.27,7560.0,637081.2
820,2025-01-12,Thanjavur,Tapioca,123,45,86,7.1,1117,26,89,13.48,24360.0,328372.8
821,2025-02-14,Thanjavur,Ginger,102,40,75,6.1,1611,33,80,11.9,7010.0,83419.0
822,2025-01-26,Vellore,Soybean,126,67,97,7.4,615,27,54,185.13,2970.0,549836.1
823,2025-01-01,Thoothukudi,Chili,105,73,115,6.8,905,28,90,190.02,3340.0,634666.8
824,2025-01-15,Madurai,Mango,119,56,99,6.5,1187,27,69,186.31,28770.0,5360138.7
825,2025-02-14,Tirunelveli,Groundnut,76,33,66,6.3,532,23,78,47.47,1200.0,56964.0
826,2025-02-01,Salem,Rice,122,57,95,5.9,1333,22,84,127.66,3740.0,477448.4
827,2025-01-04,Krishnagiri,Chili,131,77,89,6.5,847,27,50,32.21,2440.0,78592.4
828,2025-01-14,Virdhunagar,Chickpea,93,37,50,6.4,539,22,64,82.38,4460.0,367414.8
829,2025-01-11,Tirupur,Groundnut,64,60,56,6.1,541,22,79,193.23,1990.0,384527.7
830,2025-02-14,Erode,Cotton,83,51,90,6.7,994,27,80,172.97,2510.0,434154.7
831,2025-01-21,Thanjavur,Pumpkin,80,42,64,7.0,827,33,75,150.95,11390.0,1719320.5
832,2025-01-06,Krishnagiri,Rice,114,77,108,6.4,1094,22,90,182.24,4340.0,790921.6
833,2025-01-06,Kallakurichi,Tapioca,100,33,84,7.1,1331,29,74,122.13,16250.0,1984612.5
834,2025-01-22,Tirunelveli,Mango,136,65,97,6.8,883,28,83,168.78,26700.0,4506426.0
835,2025-02-18,Perambalur,Pumpkin,85,70,73,6.5,1233,30,64,61.11,13560.0,828651.6
836,2025-01-22,Ariyalur,Lemon,98,71,74,7.1,1245,27,50,110.12,19750.0,2174870.0
837,2025-01-29,Tirunelveli,Watermelon,146,93,124,7.3,1645,35,72,184.6,14480.0,2673008.0
838,2025-02-05,Palladam,Chickpea,61,39,50,6.7,676,25,74,31.31,5840.0,182850.4
839,2025-01-11,Salem,Watermelon,164,89,112,7.0,1691,34,50,121.45,19190.0,2330625.5
840,2025-02-15,Theni,Peas,89,44,72,7.3,1030,21,81,162.39,9880.0,1604413.2
841,2025-01-04,Kanyakumari,Cotton,110,63,95,7.4,1096,26,56,172.93,1720.0,297439.6
842,2025-01-21,Thoothukudi,Sugarcane,180,90,158,6.9,1721,28,79,57.08,63090.0,3601177.2
843,2025-01-19,Madurai,Brinjal,91,54,97,7.2,1159,27,63,125.4,14230.0,1784442.0
844,2025-01-24,Sankagiri,Peas,92,66,88,7.4,778,21,81,53.59,9020.0,483381.8
845,2025-01-05,Karur,Chickpea,62,33,48,6.3,672,23,77,198.53,3440.0,682943.2
846,2025-01-23,Theni,Onion,100,74,67,6.5,1033,21,89,149.96,17710.0,2655791.6
847,2025-01-31,Karur,Apple,117,75,107,7.4,800,26,58,135.71,13110.0,1779158.1
848,2025-01-15,Tirupur,Apple,159,60,116,7.5,1050,25,51,167.99,7300.0,1226327.0
849,2025-02-07,Sivaganga,Sugarcane,198,100,152,7.3,1620,31,80,154.6,65230.0,10084558.0
850,2025-01-25,Palladam,Chili,148,75,87,6.9,1048,27,72,90.87,3160.0,287149.2
851,2025-01-15,Palladam,Tomato,156,70,140,7.3,1048,25,74,90.71,6930.0,628620.3
852,2025-01-18,Krishnagiri,Lemon,134,65,74,6.8,1215,29,68,168.87,18410.0,3108896.7
853,2025-01-09,Vellore,Wheat,116,54,76,6.5,661,24,51,46.71,5980.0,279325.8
854,2025-02-13,Theni,Cotton,118,49,71,6.8,676,27,78,44.74,2860.0,127956.4
855,2025-01-11,Ooty,Sugarcane,181,81,156,6.9,1734,33,76,104.09,54200.0,5641678.0
856,2025-01-14,Trichy,Maize,159,80,138,7.1,896,28,64,92.14,6780.0,624709.2
857,2025-01-16,Kanchipuram,Sugarcane,195,87,131,6.8,1756,29,79,88.92,73640.0,6548068.8
858,2025-02-11,Perambalur,Sugarcane,178,94,120,7.0,1947,31,78,107.31,80990.0,8691036.9
859,2025-01-27,Trichy,Chili,130,87,86,6.0,1179,26,80,24.11,1530.0,36888.3
860,2025-01-09,Coimbatore,Carrot,92,68,63,6.6,1000,20,76,59.71,9320.0,556497.2
861,2025-01-27,Ramanathapuram,Wheat,107,52,69,6.3,827,20,82,135.24,4330.0,585589.2
862,2025-02-08,Coimbatore,Onion,135,75,87,7.4,774,23,79,19.64,10910.0,214272.4
863,2025-01-01,Kanyakumari,Sugarcane,176,98,140,7.0,1561,28,80,107.98,61160.0,6604056.8
864,2025-01-23,Kallakurichi,Watermelon,169,70,100,6.8,1239,30,57,148.91,15730.0,2342354.3
865,2025-02-12,Ramanathapuram,Ginger,75,51,80,7.4,1335,29,67,194.41,7370.0,1432801.7
866,2025-02-05,Krishnagiri,Pumpkin,87,67,63,6.2,898,29,74,181.73,14800.0,2689604.0
867,2025-02-06,Salem,Peas,116,49,73,6.0,822,25,89,121.29,4060.0,492437.4
868,2025-02-10,Ramanathapuram,Chili,141,64,115,7.4,1272,27,50,42.85,3570.0,152974.5
869,2025-01-09,Krishnagiri,Chili,114,69,110,6.3,1036,29,66,29.57,1990.0,58844.3
